product_category,transport_mode,weather_condition,distance_km,shipment_weight,shipment_volume,traffic_index,route_complexity_score,number_of_stops,driver_experience_years,origin_warehouse_load,destination_warehouse_load,processing_time_hours,fuel_price,holiday_flag,strike_flag,dispatch_delay_hours,handling_issues_count,documentation_delay_flag,delay_duration_hours
Pharma,Road,Rain,176.63,321.9,1.46,5.66,5.91,9,13.14,0.42,1.03,8.24,117.22,0,0,15.41,1,0,78.67
Food,Road,Rain,2239.78,202.94,0.78,6.58,5.79,3,6.07,0.41,0.84,47.42,112.35,0,0,13.9,2,0,98.9
Furniture,Air,Rain,2645.33,17.03,1.4,8.25,3.66,8,2.76,0.64,0.6,2.35,107.45,0,0,20.3,1,0,118.24
Food,Air,Clear,1304.49,325.82,4.3,4.05,1.05,5,9.05,0.59,1.08,2.48,75.23,0,0,17.94,1,0,64.03
Food,Road,Rain,1270.16,196.31,3.17,7.05,7.7,3,4.03,0.46,1.16,5.94,109.73,0,0,8.85,0,0,86.09
Clothing,Road,Clear,947.42,10.59,3.03,7.98,4.57,1,3.76,1.0,0.93,9.89,95.49,0,1,4.66,0,0,76.28
Furniture,Rail,Rain,2636.97,86.09,2.96,8.25,3.7,8,6.25,1.36,0.49,4.22,84.8,0,0,0.68,2,0,106.28
Furniture,Air,Clear,1665.96,109.57,2.1,5.49,2.75,6,19.34,1.4,0.89,45.68,118.89,0,0,17.75,6,1,101.85
Furniture,Road,Storm,1758.82,255.8,2.14,5.26,8.67,4,8.3,0.65,1.22,15.17,113.17,0,0,18.31,1,0,100.86
Food,Rail,Storm,2002.04,94.0,0.83,1.94,4.0,1,4.6,1.34,1.32,46.37,90.53,0,0,20.71,3,0,108.17
Pharma,Road,Rain,935.68,181.3,1.73,5.48,2.84,0,6.9,1.46,0.33,42.19,80.22,0,0,6.76,3,0,66.26
Furniture,Rail,Rain,1326.72,375.58,2.61,7.32,5.71,6,9.82,0.67,0.52,36.98,114.9,0,1,9.94,2,0,110.01
Automobile,Road,Rain,2237.74,404.05,3.07,9.29,8.04,2,1.9,1.42,1.42,2.27,90.72,0,0,9.78,1,0,113.79
Food,Road,Rain,2957.19,397.91,0.45,2.13,6.42,7,6.45,0.81,1.24,35.19,116.44,0,0,12.82,2,0,99.75
Clothing,Sea,Clear,151.2,347.85,1.74,9.72,9.64,3,3.29,0.86,1.16,18.74,85.46,0,0,16.95,2,0,106.07
Pharma,Road,Storm,175.81,271.36,1.76,3.11,9.61,4,2.26,0.88,0.47,42.14,90.74,1,0,13.96,0,0,79.89
Automobile,Rail,Clear,1312.84,275.76,2.62,2.58,9.12,2,18.23,1.18,0.31,26.96,115.31,0,0,1.3,1,1,56.94
Automobile,Road,Rain,1995.88,476.74,3.58,2.03,6.09,6,6.04,0.61,1.01,11.93,72.98,0,0,16.6,1,0,89.73
Clothing,Air,Rain,1189.78,439.06,3.21,9.91,7.91,3,4.58,0.59,1.34,29.5,118.85,0,0,14.75,1,0,113.42
Pharma,Sea,Rain,2998.93,325.24,2.9,6.05,3.6,0,14.16,1.06,0.39,25.94,72.22,0,0,14.44,3,0,93.61
Food,Road,Storm,626.31,234.78,1.53,3.44,6.18,4,1.62,0.97,0.38,33.53,100.13,0,0,22.28,2,0,93.17
Electronics,Rail,Rain,73.38,364.81,4.21,3.86,1.6,1,19.48,0.39,1.5,12.92,93.81,0,0,9.74,2,0,50.43
Pharma,Air,Storm,610.88,32.3,3.95,9.55,3.37,6,19.71,1.38,0.58,47.52,98.97,0,0,8.44,3,1,103.33
